number of k points, bulk_energy, surface_energy_density
4,-25.6547233012,-1.5478515795
5,-25.3884399158,-1.52904631859
6,-25.3638687611,-1.52731107335
7,-25.5313657591,-1.53913991782
8,-25.4367059938,-1.53245492851
9,-25.3410747831,-1.52570133453
10,-25.4138981017,-1.53084420706
11,-25.4315483072,-1.53209068632
12,-25.4112629541,-1.53065810969
13,-25.3971838496,-1.52966382597
14,-25.4235956717,-1.53152906141
15,-25.4196749153,-1.53125217276
16,-25.4180517385,-1.53113754201
17,-25.4189943125,-1.53120410774
18,-25.4250771361,-1.53163368424
19,-25.4184954889,-1.53116888021
20,-25.4221739825,-1.53142865996
