number of k points, bulk_energy, surface_energy_density
4,-25.6577435287,0.0354347497285
5,-25.391516305,0.0542360444342
6,-25.3668946109,0.0559748588233
7,-25.5344239206,0.0441437324601
8,-25.4397260289,0.0508314143018
9,-25.344088794,0.0575854337225
10,-25.4169275368,0.0524414719177
11,-25.4345908601,0.0511940662531
12,-25.4142938593,0.0526274654741
13,-25.4002066665,0.0536223203944
14,-25.4266250852,0.0517566190948
15,-25.4226984855,0.0520339204083
16,-25.4210807616,0.0521481660671
17,-25.4220284928,0.0520812361179
18,-25.4281060676,0.0516520302953
19,-25.4215337028,0.0521161787966
20,-25.4251999748,0.0518572621536
