atom depth, bulk_energy, surface_energy_density
3,-10.5090503723,-0.742162091371
4,-14.1935327248,-1.00236477682
5,-17.943096037,-1.26716355986
6,-21.6932923418,-1.53200704562
7,-25.4210807616,-1.79526805892
8,-29.1639138243,-2.05959154345
9,-32.9093219076,-2.3240968791
10,-36.6381121066,-2.58742863929
11,-40.3687737739,-2.85089256487
12,-44.1155331928,-3.11549333351
13,-47.8517292083,-3.37934810158
14,-51.5822108395,-3.64279931279
15,-55.3197047125,-3.90674573716
16,-59.057336384,-4.17070189303
17,-62.7914248355,-4.43440782233
18,-66.5292795733,-4.69837973142
19,-70.2681347325,-4.9624222915
