Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.863570444513181+0j),(-2.7247671243695963+0j),(-2.8248214224960826+0j)
(-0.919422158889185+0j),(-0.46471370147637175+0j),(-0.5125602639048956+0j)
0.0005545881714499485,0.0005596371688468774,0.0005681723442530189,0.005
0.0021744932015994,0.0021941953042340905,0.002227656576404515,0.01
0.004795975070245669,0.00483908831647767,0.004912873115442898,0.015
0.008357948612466139,0.008432265427175189,0.008560811609253403,0.02
0.012801889225775846,0.012914140732834123,0.013110960095435815,0.025
0.018071741495259065,0.01822752331212725,0.018505234656573253,0.03
0.024113830666962495,0.02431754798396967,0.02468790968255661,0.035
0.0308767769001425,0.031131606813217295,0.03160554884182745,0.04
0.038311412229361345,0.03861928145100501,0.039206936853292115,0.045
0.0463707001679746,0.04673227638757651,0.04744301214116712,0.05
0.05500965788514461,0.055424353186863826,0.056266800446112424,0.055
0.06418528088925679,0.0646512657639882,0.06563334945766644,0.06
0.0738564701513777,0.07437069675940654,0.07549966452520933,0.065
0.08398396160325498,0.08454219505628796,0.08582464549735673,0.07
0.09453025794528791,0.09512711448130388,0.09656902473296892,0.075
0.1054595627008468,0.10608855372281208,0.10769530632054887,0.08
0.11673771645437524,0.1173912974948168,0.11916770653701032,0.085
0.12833213521170522,0.12900175896985688,0.13095209557130316,0.09
0.14021175082215903,0.140887923499105,0.1430159405333132,0.095
0.15234695340313656,0.15301929363347855,0.15532824976389217,0.1
0.16470953570897695,0.16536683545545608,0.16785951845742567,0.105
0.17727263938709042,0.17790292622751258,0.18058167560450797,0.11
0.19001070306555368,0.19060130335952868,0.19346803225859244,0.115
0.20289941221749216,0.2034370146944588,0.20649323112716675,0.12
0.21591565074883212,0.2163863701085127,0.21963319748497517,0.125
0.229037454257153,0.22942689441951847,0.23286509140398595,0.13
0.24224396491062578,0.24253728159481702,0.2461672612923431,0.135
0.25551538789721273,0.2556973502475867,0.25951919873217655,0.14
0.26883294939544033,0.26888800040889177,0.2729014946041732,0.145
0.2821788560193771,0.2820911715607433,0.2862957964849149,0.15
0.2955362556915045,0.2952898019139505,0.29968476730124827,0.155
0.30888919989841557,0.30846778891320636,0.31305204522467256,0.16
0.3222226072854273,0.3216099509505482,0.32638220478721724,0.165
0.33552222854737895,0.33470199026730535,0.3396607191992629,0.17
0.34877461257384784,0.34773045702363486,0.3528739238487049,0.17500000000000002
0.36196707380854626,0.36068271451406864,0.36600898096001633,0.18
0.37508766078312183,0.3735469055067292,0.3790538453910052,0.185
0.388125125787453,0.38631191968318596,0.3919972315445134,0.19
0.4010688956388889,0.3989673621557626,0.40482858137162436,0.195
0.41390904351434993,0.4115035230384204,0.41753803344274404,0.2
0.42663626181024883,0.4239113480472696,0.43011639306246774,0.20500000000000002
0.43924183599583466,0.4361824101063692,0.4425551034039113,0.21
0.45171761942704713,0.4483088819346153,0.45484621763816613,0.215
0.46405600908861927,0.4602835095891989,0.46698237203414006,0.22
0.4762499222330974,0.47209958694120857,0.4789567600044547,0.225
0.4882927738867101,0.48375093105912526,0.49076310707271903,0.23
0.5001784551924621,0.4952318584758392,0.5023956467378282,0.23500000000000001
0.5119013125621192,0.5065371623151964,0.513849097210996,0.24
0.5234561276094959,0.5176620902541808,0.5251186390013248,0.245
0.53483809783801,0.5286023232970034,0.5361998933261954,0.25
0.546042818056929,0.5393539553378655,0.5470889013226694,0.255
0.5570662625008501,0.5499134734890689,0.5577821040367217,0.26
0.5679047676283103,0.5602777391520782,0.5682763231671959,0.265
0.5785550155757083,0.570443969808685,0.5785687425418604,0.27
0.5890140182439179,0.5804097215106812,0.5886568903031663,0.275
0.5992791019952957,0.5901728720460685,0.5985386217819508,0.28
0.6093478929398959,0.5997316047607084,0.6082121030373766,0.28500000000000003
0.6192183027899245,0.6090843930145159,0.6176757950421267,0.29
0.628888515262559,0.6182299852518854,0.6269284384920498,0.295
0.6383569730117744,0.6271673906662115,0.6359690392201728,0.3
0.6476223650701808,0.6358958654391722,0.6447968541950444,0.305
0.6566836147830504,0.6444148995355422,0.6534113780842595,0.31
0.6655398682167131,0.652724204034933,0.6618123303641079,0.315
0.6741904830244879,0.6608236989823129,0.6699996429569127,0.32
0.6826350177536902,0.6687135017396012,0.6779734483781521,0.325
0.6908732215779301,0.6763939158208984,0.6857340683756397,0.33
0.6989050244392349,0.6838654201947623,0.6932820030439172,0.335
0.7067305275853429,0.691128659036922,0.7006179203968886,0.34
0.714349994487687,0.6981844319177052,0.7077426463828053,0.34500000000000003
0.721763842126405,0.7050336844085254,0.7146571553258281,0.35000000000000003
0.7289726326288076,0.7116774990924093,0.7213625607785216,0.355
0.7359770652486338,0.7181170869640485,0.7278601067710264,0.36
0.7427779686733692,0.7243537792051061,0.7341511594418,0.365
0.7493762936477765,0.7303890193208611,0.7402371990364589,0.37
0.7557731059019326,0.7362243556251765,0.7461198122608893,0.375
0.7619695793725088,0.7418614340605117,0.7518006849754307,0.38
0.7679669897064799,0.7473019913404985,0.7572815952174633,0.385
0.773766708036882,0.7525478484031329,0.7625644065399799,0.39
0.7793701950202422,0.757600904162458,0.7676510616541501,0.395
0.7847789951263378,0.7624631295476537,0.772543576364302,0.4
0.7899947311703835,0.7671365618182319,0.7772440337840665,0.405
0.7950190990790963,0.7716232991449014,0.7817545788228404,0.41000000000000003
0.7998538628812972,0.7759254954456276,0.7860774129320401,0.41500000000000004
0.8045008499151312,0.7800453554669077,0.7902147891010222,0.42
0.808961946243248,0.783985130100635,0.7941690070928161,0.425
0.8132390922685806,0.787747111927397,0.797942408910215,0.43
0.8173342785426061,0.79133363097688,0.8015373744830371,0.435
0.8212495417591209,0.7947470506969276,0.8049563175677258,0.44
0.8249869609263935,0.7979897641228804,0.8082016818506579,0.445
0.8285486537107708,0.8010641902388316,0.8112759372471668,0.45
0.8319367729451111,0.803972770523344,0.8141815763880117,0.455
0.8351535032962049,0.8067179656718543,0.8169211112857221,0.46
0.8382010580841953,0.8093022524884796,0.8194970701736013,0.465
0.8410816762489635,0.8117281209404481,0.8219119945100504,0.47000000000000003
0.8437976194573195,0.8139980713680134,0.8241684361412592,0.47500000000000003
0.8463511693455548,0.8161146118439047,0.8262689546159998,0.48
0.8487446248923061,0.8180802556752746,0.8282161146456708,0.485
0.8509802999164781,0.8198975190430399,0.830012483703798,0.49
