Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.8614902746293387+0j),(-2.7223976102934087+0j),(-2.8233117448462304+0j)
(-0.9178129382165808+0j),(-0.46305802313530064+0j),(-0.5114825101733056+0j)
0.000553631255494129,0.0005588631780646041,0.0005676928376502463,0.005
0.0021707415543341904,0.002191160684409479,0.0022257765515213456,0.01
0.0047877018382574505,0.004832395779003751,0.0049087269097172785,0.015
0.008343533910191424,0.008420603581627365,0.008553586769880165,0.02
0.012779816251112637,0.012896280758430585,0.013099895317816178,0.025
0.01804059275198249,0.01820231574655568,0.01848961779685348,0.03
0.02407228429117502,0.02428391962436459,0.02466707584077749,0.035
0.030823603088104688,0.0310885577243915,0.031578878512433975,0.04
0.03824546976416389,0.03856588207634855,0.03917385413996478,0.045
0.04629093304260357,0.04666766475831405,0.04740298303313022,0.05
0.054915092019597496,0.05534773222561506,0.05621933115325846,0.055
0.06407502093943902,0.0645619006788427,0.06557798480200541,0.06
0.0737296964076001,0.07426791252490547,0.07543598638629215,0.065
0.08383992697621817,0.08442537397797997,0.08575227130951647,0.07
0.09436828503751993,0.0949956938406718,0.09648760603226676,0.075
0.1052790409616082,0.10594202349957939,0.1076045273395557,0.08
0.11653809941610854,0.11722919816383245,0.11906728284556178,0.085
0.1281129378061613,0.12882367936986772,0.13084177276152936,0.09
0.13997254677442514,0.1406934987708848,0.1428954929473559,0.095
0.15208737270172598,0.15280820322494948,0.15519747926274993,0.1
0.16442926215032475,0.16513880119152008,0.16771825322952996,0.105
0.17697140819275464,0.17765771044244502,0.18042976901265392,0.11
0.18968829857045946,0.19033870708988873,0.19330536172395035,0.115
0.20255566562764957,0.20315687593057705,0.2063196970491537,0.12
0.21555043796693202,0.21608856210272392,0.21944872219585188,0.125
0.2286506937745251,0.2291113240493466,0.2326696181570261,0.13
0.2418356157640331,0.2422038877794255,0.2459607532826051,0.135
0.2550854476890231,0.2553461024159279,0.25930163814885115,0.14
0.2683814523757418,0.2685188970179523,0.27267288171357784,0.145
0.28170587122856955,0.281704238662487,0.2860561487431466,0.15
0.2950418851620429,0.2948850917694275,0.29943411849574886,0.155
0.3083735769142587,0.3080453786525951,0.3127904446438264,0.16
0.321685894697948,0.32116994127772636,0.3261097164171308,0.165
0.334964617146297,0.334244504207719,0.3393774209470549,0.17
0.34819631951200947,0.3472556387142646,0.35257990679148515,0.17500000000000002
0.36136834107915566,0.36019072803432167,0.3657043486189233,0.18
0.3744687537483102,0.3730379337490255,0.3787387130295497,0.185
0.38748633175678504,0.3857861632623151,0.3916717254905874,0.19
0.40041052249674985,0.3984250383558055,0.40449283836256594,0.195
0.4132314183949788,0.4109448647962598,0.41719219999280194,0.2
